id,name,tag
1291550,天下无贼,"犯罪,冯小刚,动作,剧情,中国电影,天下无贼,冯小刚,中国大陆,中国香港,刘德华,刘若英,王宝强,"
1295124,辛德勒的名单 Schindler's List,"德国,战争,德国,二战,剧情,历史,斯皮尔伯格,辛德勒的名单,Schindler's,List,史蒂文·斯皮尔伯格,美国,连姆,尼森,本,"
1291832,低俗小说 Pulp Fiction,"人生,Tarantino,犯罪,喜剧,剧情,低俗小说,Pulp,Fiction,昆汀·塔伦蒂诺,美国,约翰,特拉沃尔塔,乌玛,"
2213597,朗读者 The Reader,"生活,二战,德国,剧情,爱情,朗读者,The,Reader,史蒂芬·戴德利,美国,德国,凯特,温丝莱特,大卫,"
2268359,暮光之城 Twilight,"生活,剧情,爱情,惊悚,奇幻,暮光之城,Twilight,凯瑟琳·哈德威克,美国,克里斯汀,斯图尔特,罗伯特,"
1293544,沉默的羔羊 The Silence of the Lambs,"经典,犯罪,惊悚,悬疑,剧情,沉默的羔羊,The,Silence,of,the,Lambs,乔纳森·戴米,美国,朱迪,福斯特,安东尼,"
1308575,蓝色大门 藍色大門,"高中生,爱情,剧情,同性,浪漫,蓝色大门,藍色大門,易智言,中国台湾,法国,陈柏霖,桂纶镁,梁又琳,"
1291560,龙猫 となりのトトロ,"动画,奇幻,宫崎骏,冒险,龙猫,となりのトトロ,宫崎骏,日本,日高范子,坂本千夏,糸井重里,"
1292328,东邪西毒 東邪西毒,"张国荣,武士,爱情,剧情,王家卫,香港,动作,古装,武侠,东邪西毒,東邪西毒,王家卫,中国香港,中国台湾,张国荣,林青霞,梁朝伟,"
1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,"奇幻,爱情,喜剧,古装,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,刘镇伟,中国香港,中国大陆,周星驰,吴孟达,朱茵,"
3626416,十月围城,"香港,甄子丹,剧情,动作,历史,十月围城,陈德森,中国香港,中国大陆,甄子丹,王学圻,梁家辉,"
3158990,海角七号 海角七號,"音乐,日本,日本,二战,台湾,日本,日本,日本,音乐,爱情,喜剧,剧情,浪漫,海角七号,海角七號,魏德圣,中国台湾,范逸臣,田中千绘,中孝介,"
1301753,狮子王 The Lion King,"动画,歌舞,迪斯尼,冒险,美国,狮子王,The,Lion,King,罗杰·阿勒斯罗伯·明可夫,美国,乔纳森,泰勒,托马斯,"
2149806,入殓师 おくりびと,"剧情,佳片,入殓师,おくりびと,泷田洋二郎,日本,本木雅弘,广末凉子,山崎努,"
1306249,唐伯虎点秋香 唐伯虎點秋香,"功夫,喜剧,爱情,古装,唐伯虎点秋香,唐伯虎點秋香,李力持,中国香港,周星驰,巩俐,陈百祥,"
1292402,西西里的美丽传说 Malèna,"生活,音乐,剧情,情色,战争,西西里的美丽传说,Malèna,朱塞佩·托纳多雷,意大利,美国,莫妮卡,贝鲁奇,朱塞佩,"
1292064,楚门的世界 The Truman Show,"美国,生活,生活,剧情,科幻,楚门的世界,The,Truman,Show,彼得·威尔,美国,金,凯瑞,劳拉,"
1292286,我的野蛮女友 엽기적인 그녀,"浪漫,剧情,喜剧,爱情,我的野蛮女友,엽기적인,그녀,郭在容,韩国,车太贤,全智贤,金仁文,"
1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,"奇幻,爱情,喜剧,古装,香港电影,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,刘镇伟,中国香港,中国大陆,周星驰,吴孟达,罗家英,"
1292343,蝴蝶效应 The Butterfly Effect,"童年,童年,生活,生活,童年,童年,惊悚,科幻,佳片,悬疑,剧情,蝴蝶效应,The,Butterfly,Effect,埃里克·布雷斯J·麦基·格鲁伯,美国,加拿大,阿什顿,库彻,梅洛拉,"
1828115,色，戒,"战争,香港,香港,生活,爱情,情色,剧情,佳片,色，戒,李安,中国台湾,中国大陆,美国,中国香港,梁朝伟,汤唯,陈冲,"
1794171,变形金刚 Transformers,"美国,高中生,历史,动作,科幻,变形金刚,Transformers,迈克尔·贝,美国,希亚,拉博夫,梅根,"
1291543,功夫,"年代,功夫,犯罪,奇幻,动作,喜剧,香港电影,功夫,周星驰,中国大陆,中国香港,周星驰,元秋,元华,"
2124703,疯狂的赛车,"台湾,黑帮,内地,喜剧,黑色,动作,冒险,疯狂的赛车,宁浩,中国大陆,黄渤,戎祥,九孔,"
1308817,两小无猜 Jeux d'enfants,"家庭,生活,爱情,喜剧,剧情,浪漫,两小无猜,Jeux,d'enfants,杨·塞谬尔,法国,比利时,吉约姆,卡内,玛丽昂,"
1292063,美丽人生 La vita è bella,"生活,生活,生活,年代,爱情,喜剧,剧情,意大利,战争,美丽人生,La,vita,è,bella,罗伯托·贝尼尼,意大利,罗伯托,贝尼尼,尼可莱塔,"
3041806,叶问 葉問,"年代,甄子丹,剧情,动作,传记,历史,叶问,葉問,叶伟信,中国香港,中国大陆,甄子丹,任达华,熊黛林,"
5344178,11度青春之《老男孩》,"青春,短片,青春,王小帅,年代,王小帅,青春,剧情,喜剧,11度青春之《老男孩》,肖央,中国大陆,肖央,王太利,韩秋池,"
1418834,断背山 Brokeback Mountain,"美国,西部,生活,人生,剧情,爱情,同性,家庭,断背山,Brokeback,Mountain,李安,美国,加拿大,希斯,莱杰,杰克,"
2146991,变形金刚2 Transformers: Revenge of the Fallen,"生活,动作,科幻,冒险,变形金刚2,Transformers:,Revenge,of,the,Fallen,迈克尔·贝,美国,希亚,拉博夫,梅根,"
1302425,喜剧之王 喜劇之王,"剧情,喜剧,爱情,喜剧之王,喜劇之王,周星驰李力持,中国香港,周星驰,张柏芝,莫文蔚,"
3006772,第九区 District 9,"生活,剧情,动作,科幻,惊悚,第九区,District,9,尼尔·布洛姆坎普,美国,新西兰,加拿大,南非,沙尔托,科普雷,詹森,"
1291828,天堂电影院 Nuovo Cinema Paradiso,"意大利,童年,生活,爱情,成长,剧情,天堂电影院,Nuovo,Cinema,Paradiso,朱塞佩·托纳多雷,意大利,法国,菲利普,努瓦雷,萨瓦特利,"
4305436,志明与春娇 志明與春嬌,"爱情,喜剧,剧情,浪漫,志明与春娇,志明與春嬌,彭浩翔,中国香港,杨千嬅,余文乐,黄德斌,"
1309199,史密斯夫妇 Mr. & Mrs. Smith,"AngelinaJolie,生活,生活,生活,动作,爱情,喜剧,美国,史密斯夫妇,Mr.,&,Mrs.,Smith,道格·里曼,美国,布拉德,皮特,安吉丽娜,"
4271894,非诚勿扰2,"2,爱情,生活,生活,人生,喜剧,非诚勿扰2,冯小刚,中国大陆,葛优,舒淇,孙红雷,"
1291841,教父 The Godfather,"年代,美国,教父,黑手党,黑手党,教父,教父,教父,黑手党,教父,黑手党,教父,黑帮,史诗,经典,犯罪,剧情,美国电影,教父,The,Godfather,弗朗西斯·福特·科波拉,美国,马龙,白兰度,阿尔,"
1292219,关于莉莉周的一切 リリイ·シュシュのすべて,"生活,生活,剧情,关于莉莉周的一切,リリイ·シュシュのすべて,岩井俊二,日本,市原隼人,忍成修吾,伊藤步,"
1978709,黑天鹅 Black Swan,"NataliePortman,剧情,惊悚,黑天鹅,Black,Swan,达伦·阿伦诺夫斯基,美国,娜塔莉,波特曼,米拉,"
3230459,李米的猜想,"生活,剧情,爱情,犯罪,李米的猜想,曹保平,中国大陆,中国香港,周迅,邓超,张涵予,"
1291586,海底总动员 Finding Nemo,"生活,动画,冒险,pixar,喜剧,海底总动员,Finding,Nemo,安德鲁·斯坦顿李·昂克里奇,美国,澳大利亚,艾伯特,布鲁克斯,艾伦,"
