epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.24026848375797272	0.052965886890888214	0.2513275712185638	0.21006712317466736	0.09096667170524597	0.23255753315408104
20.0	0.2791946530342102	0.060630712658166885	0.2923763162288613	0.24451902508735657	0.10670922696590424	0.2703239120986368
30.0	0.2859060764312744	0.06108802184462547	0.30190262987523336	0.25100669264793396	0.10884787887334824	0.2789870530733902
40.0	0.2939597964286804	0.06326859444379807	0.3097217647778833	0.2521252930164337	0.10996109992265701	0.2816451703514773
50.0	0.28993290662765503	0.06255743652582169	0.3011298593492161	0.25503355264663696	0.11097206175327301	0.2798543394934081
60.0	0.2823266386985779	0.06040119379758835	0.2962140761972351	0.25167784094810486	0.11030655354261398	0.2765125521492497
70.0	0.2774049639701843	0.06001098081469536	0.28799647081146423	0.2440715879201889	0.10569872707128525	0.26782240606902713
80.0	0.27158838510513306	0.05832410976290703	0.28383602993263113	0.2407158613204956	0.10261791944503784	0.26445519308611953
90.0	0.27158838510513306	0.057643596082925797	0.27610644089853825	0.2387024611234665	0.10104258358478546	0.25715320915544754
100.0	0.26890382170677185	0.05845853313803673	0.27342650062622675	0.23691274225711823	0.10054714232683182	0.2551771152768087
110.0	0.24966444075107574	0.05332741141319275	0.25797057698446435	0.2295302152633667	0.09812013804912567	0.24704014677226147
120.0	0.2554810047149658	0.054417166858911514	0.2618933852206838	0.2302013337612152	0.09922628104686737	0.2478588390928867
130.0	0.2434004545211792	0.05188417434692383	0.2537107741514768	0.22729307413101196	0.09730125963687897	0.24465649211004334
140.0	0.24519018828868866	0.05277441069483757	0.2536153855685037	0.22975391149520874	0.09925410151481628	0.24616810237138806
