epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.2393735945224762	0.052133478224277496	0.2529839072631944	0.2143176794052124	0.09397108107805252	0.23734662771745715
20.0	0.28411635756492615	0.063540980219841	0.2956891251044288	0.243400439620018	0.10638854652643204	0.2701703635768409
30.0	0.2930648624897003	0.0650344043970108	0.31083031765165087	0.2532438635826111	0.11105664074420929	0.28461912143219603
40.0	0.29485464096069336	0.06277158856391907	0.31282776203635315	0.2559283971786499	0.11377611756324768	0.28717124643616215
50.0	0.2917226254940033	0.06430193036794662	0.3069587771525091	0.2525727152824402	0.10941053926944733	0.2817438268912959
60.0	0.2791946530342102	0.06171942129731178	0.2917906199865459	0.24653242528438568	0.10778684914112091	0.2720637607380882
70.0	0.27561524510383606	0.0629001334309578	0.28502622003961475	0.24026843905448914	0.10510917752981186	0.2642915035037058
80.0	0.26487699151039124	0.05895636975765228	0.2733640138654562	0.23758390545845032	0.10389140248298645	0.2586849374747831
90.0	0.2568233013153076	0.05555868148803711	0.2664315371770427	0.23176735639572144	0.1013890877366066	0.2526044967718832
100.0	0.2519015967845917	0.054902028292417526	0.25936665984392115	0.22841164469718933	0.09828141331672668	0.24677371153353778
110.0	0.2487696260213852	0.053458891808986664	0.2566787320788837	0.22237135469913483	0.09292753040790558	0.2414812914297041
120.0	0.24250560998916626	0.05155828595161438	0.25017282388396517	0.2214765101671219	0.09478387981653214	0.23941973609079298
130.0	0.23982104659080505	0.05072697252035141	0.24758643139182124	0.21744965016841888	0.09144971519708633	0.2351812488535411
